file,line_count,sha16,first_line,last_line,wf_mstr_hits,glt_det_hits,insert_log_hits,messagebox_hits,todo_hits
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryChangeItemAVGCostReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryChangeItemAVGCostReport.vb,267,794e0e8704864966,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryChangeItemCopyCost.designer.vb,860,b37a7d28c944593d,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryChangeItemCopyCost.resx,129,2514c8f50c975d4a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryChangeItemCopyCost.vb,1348,8468fe742eaccdd2,﻿Imports Devart.Data.PostgreSql,,0,0,1,35,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryIssues.designer.vb,1060,935195fb9e5d1821,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryIssues.resx,132,9f5ec3d5d62a83b1,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryIssues.vb,2699,d39c9a2a09dfdde1,﻿Imports Devart.Data.PostgreSql,End Class,0,4,2,47,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryIssuesLimit.Designer.vb,1084,be027c791cc1652b,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryIssuesLimit.resx,132,9f5ec3d5d62a83b1,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryIssuesLimit.vb,2259,cecdc8bc6faf41ba,﻿Imports Devart.Data.PostgreSql,End Class,0,4,2,46,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryIssuesReportLimit.designer.vb,254,ca810da54cfd91a5,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryIssuesReportLimit.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryIssuesReportLimit.vb,237,cea1b87f0d388146,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryLastCostReport.designer.vb,112,ad5338198351c087,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryLastCostReport.resx,126,f108bc6c4576d3b7,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryLastCostReport.vb,204,6513d409747e7184,﻿Imports master_new.PGSqlConn,End Class,0,0,0,5,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryReceipts.designer.vb,1040,4412888c78b8dff7,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryReceipts.resx,129,2514c8f50c975d4a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryReceipts.vb,2547,32ca5669e5296291,﻿Imports Devart.Data.PostgreSql,,0,4,2,46,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryReceiptsLimit.designer.vb,1065,897b8378ae1f1bc5,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryReceiptsLimit.resx,129,2514c8f50c975d4a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryReceiptsLimit.vb,2180,f568c9bcaea7c7c9,﻿Imports Devart.Data.PostgreSql,,0,4,2,44,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryReceiptsReportLimit.designer.vb,253,e1706b69faf6be58,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryReceiptsReportLimit.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryReceiptsReportLimit.vb,219,f9de941573b6459e,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryRequest.Designer.vb,1072,a82caa4c60e8c880,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryRequest.resx,129,2ba8fdb9b3ea14df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryRequest.vb,2319,d2371b621fb4450a,﻿Imports Devart.Data.PostgreSql,End Class,10,0,7,66,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryWIPCost.designer.vb,587,9586141da7f26961,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryWIPCost.resx,129,e6b7d88b9418fffc,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryWIPCost.vb,348,c2173c91a1707233,﻿Imports Devart.Data.PostgreSql,End Class,0,0,1,5,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvIssue.designer.vb,940,00e6ed91978b474c,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvIssue.resx,609,d5ff46bb01425265,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvIssue.vb,109,bc15d515aa10981c,Imports DevExpress.XtraPrinting.XtraPageSettings,End Class,0,0,1,4,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvIssue_LOT.designer.vb,957,95112eda0f480582,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvIssue_LOT.resx,615,ae0d4ad7d5ea7adb,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvIssue_LOT.vb,107,07fed7665109db2a,Imports Devart.Data.PostgreSql,End Class,0,0,1,4,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvRec.designer.vb,928,e28fb6e3f8828480,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvRec.resx,606,782cf9ffdcc53095,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvRec.vb,108,c4015073a4b0e7b9,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvRec_LOT.designer.vb,949,4257b6716d04919c,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvRec_LOT.resx,612,d182119358d79023,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInvRec_LOT.vb,109,eb2bf3da49748e90,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInventoryReqPrint.designer.vb,959,e849edfd8a50b877,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInventoryReqPrint.resx,627,fba4a32aa06be947,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/XRInventoryReqPrint.vb,108,50941085b7f4e312,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/DS_POReceiptScale.Designer.vb,1433,70554d14c778f599,﻿'------------------------------------------------------------------------------,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPOReceiptScaleReleasePrint.designer.vb,79,1314e22b38be9978,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPOReceiptScaleReleasePrint.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPOReceiptScaleReleasePrint.vb,74,a4218db3e0e18cfe,﻿Imports Devart.Data.PostgreSql,End Class,0,0,1,6,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseOrder.Designer.vb,2041,1f3ee29138e75a35,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseOrder.resx,132,5ef9cebd1e310deb,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseOrder.vb,6182,cb07a567eb961d88,﻿Imports DevExpress.XtraExport,,13,5,9,107,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseOrderApproval.designer.vb,1114,4e4f5f593b4b9874,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseOrderApproval.resx,138,ccd6028516e1132e,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseOrderApproval.vb,1715,8fda4f40ae81bb78,﻿Imports Devart.Data.PostgreSql,End Class,14,0,2,21,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseOrderReport.Designer.vb,194,68a61566c290b139,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseOrderReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseOrderReport.vb,244,dc9c9bc777a8623e,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchasePackaging.designer.vb,119,4857709faf8d1b31,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchasePackaging.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchasePackaging.vb,361,32b842163bce4759,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,8,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceipt.designer.vb,1107,8935e14d4fd91315,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceipt.resx,129,2ba8fdb9b3ea14df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceipt.vb,2261,abad3430e5d9a46f,﻿Imports Devart.Data.PostgreSql,End Class,0,1,6,42,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptReport.Designer.vb,318,b873a457d1d1cdcf,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptReport.resx,126,68d037a5be6a370f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptReport.vb,343,db8aebb0242355f1,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptReturnReport.Designer.vb,223,c7f77be0a8d37872,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptReturnReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptReturnReport.vb,294,d17f0100a3e6f1d3,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptScale.Designer.vb,1024,03a6666042a06259,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptScale.resx,129,540fbe4ed97e4111,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptScale.vb,1347,c2656cc15ef48c8d,﻿Imports Devart.Data.PostgreSql,End Class,0,0,4,25,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptScaleComparison.Designer.vb,270,b241e2843a50ddf2,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptScaleComparison.resx,126,68d037a5be6a370f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptScaleComparison.vb,199,8ee7211ef9f28ba7,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptScaleReport.Designer.vb,195,b2533263540f9057,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptScaleReport.resx,126,e99f9da1e93d2bb9,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReceiptScaleReport.vb,141,b6616b751823b938,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReturn.Designer.vb,979,023c9f9879088155,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReturn.resx,129,2ba8fdb9b3ea14df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReturn.vb,2139,ce20b4537a70d7ec,﻿Imports Devart.Data.PostgreSql,End Class,0,4,2,36,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReturnReport.Designer.vb,223,6f45557b49c03109,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReturnReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/FPurchaseReturnReport.vb,267,12b383043b35e75f,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseOrderPrintOut.Designer.vb,1402,be3cc3af68b7fb33,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseOrderPrintOut.resx,123,310fd7a8db612c5e,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseOrderPrintOut.vb,168,6448b4bf8a937aff,﻿Imports System.ComponentModel,End Class,0,0,1,4,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptPrint.designer.vb,707,6f58d33f7d429755,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptPrint.resx,555,685ce24055bb9ba9,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptPrint.vb,108,1245744be9d46947,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptScalePrint.Designer.vb,813,538f0206cd635875,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptScalePrint.resx,549,66dcd6eb66079050,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptScalePrint.vb,108,3ca757d887bfd6f9,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseReturnPrint.designer.vb,971,2a84e9f0b87303f0,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseReturnPrint.resx,615,a1672af25c63cc0f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/XRPurchaseReturnPrint.vb,108,f4923e097bc91ac0,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/ds_po_printout.designer.vb,3546,a71f2770ec77f81a,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/ds_po_printout.vb,3,2f7c71473b48a64b,﻿Partial Class ds_po_printout,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Purchase Order/ds_rcv_printout.Designer.vb,3211,95b24bdebae1bff8,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotRoutingApprovalImport.designer.vb,190,dd089cd28dfb4807,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotRoutingApprovalImport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotRoutingApprovalImport.vb,195,59e516c0ca3042bf,﻿Imports master_new.PGSqlConn,End Class,0,0,0,4,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotation.designer.vb,1383,d72fd844faad753a,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotation.resx,132,a0caf6ab3bd288c5,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotation.vb,2754,8a6808fbbc725a73,﻿Imports DevExpress.XtraExport,,9,0,6,61,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationApproval.designer.vb,1029,91f43219675ca597,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationApproval.resx,138,ccd6028516e1132e,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationApproval.vb,1058,07204ba7b8d74514,﻿Imports Devart.Data.PostgreSql,End Class,12,0,2,20,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationReason.Designer.vb,77,2ab49f8b5aff2a15,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationReason.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationReason.vb,7,8f0a71d1ba682f9e,﻿Public Class FQuotationReason,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationReport.Designer.vb,195,23e1290465ab2a4e,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationReport.resx,126,e99f9da1e93d2bb9,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationReport.vb,143,e3233c2503a8d18f,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationRoutingApproval.designer.vb,472,faee434377497117,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationRoutingApproval.resx,129,284079fbcb8ace1c,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/FQuotationRoutingApproval.vb,386,3c4ed4d21db31803,﻿Imports Devart.Data.PostgreSql,End Class,0,0,3,9,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/XRQuotationPrint.designer.vb,930,4abab9142a47abfb,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/XRQuotationPrint.resx,600,0faeb3ac4236b529,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Quotation/XRQuotationPrint.vb,52,d26017fecd46ae4d,Imports DevExpress.XtraPrinting,End Class,0,0,0,2,0
